[2024-12-01 22:24:07,493] 5	T_sample 16.71	T_update 7.55	ETA 13:26:15	expert_R_avg 0.3118 [0.2785,0.3321,0.2216,0.4828,0.9408]	expert_R_range (0.0543, 0.9138)	eps_len 16.62
[2024-12-01 22:24:31,886] 6	T_sample 16.93	T_update 7.42	ETA 13:28:49	expert_R_avg 0.3112 [0.2729,0.3353,0.2225,0.4853,0.9419]	expert_R_range (0.0559, 0.9123)	eps_len 16.98
[2024-12-01 22:24:56,551] 7	T_sample 17.14	T_update 7.48	ETA 13:37:22	expert_R_avg 0.3132 [0.2772,0.3304,0.2243,0.4901,0.9413]	expert_R_range (0.0540, 0.9206)	eps_len 16.64
[2024-12-01 22:25:21,146] 8	T_sample 16.91	T_update 7.64	ETA 13:34:42	expert_R_avg 0.3071 [0.2727,0.3328,0.2172,0.4720,0.9415]	expert_R_range (0.0530, 0.9324)	eps_len 17.25
[2024-12-01 22:25:45,774] 9	T_sample 17.05	T_update 7.53	ETA 13:35:14	expert_R_avg 0.3063 [0.2743,0.3304,0.2137,0.4772,0.9417]	expert_R_range (0.0569, 0.9265)	eps_len 17.22
[2024-12-01 22:26:10,562] 10	T_sample 17.10	T_update 7.64	ETA 13:40:11	expert_R_avg 0.3064 [0.2760,0.3283,0.2140,0.4737,0.9412]	expert_R_range (0.0542, 0.9264)	eps_len 17.23
[2024-12-01 22:26:35,373] 11	T_sample 17.20	T_update 7.56	ETA 13:40:27	expert_R_avg 0.3093 [0.2765,0.3334,0.2185,0.4764,0.9405]	expert_R_range (0.0491, 0.9129)	eps_len 17.38
[2024-12-01 22:27:00,324] 12	T_sample 17.35	T_update 7.56	ETA 13:44:47	expert_R_avg 0.3042 [0.2722,0.3274,0.2143,0.4629,0.9408]	expert_R_range (0.0551, 0.9202)	eps_len 17.70
[2024-12-01 22:27:25,144] 13	T_sample 17.16	T_update 7.61	ETA 13:39:58	expert_R_avg 0.3029 [0.2723,0.3284,0.2107,0.4653,0.9404]	expert_R_range (0.0486, 0.9198)	eps_len 17.72
[2024-12-01 22:27:49,825] 14	T_sample 16.93	T_update 7.71	ETA 13:34:59	expert_R_avg 0.3074 [0.2747,0.3309,0.2170,0.4716,0.9407]	expert_R_range (0.0510, 0.9172)	eps_len 17.71
[2024-12-01 22:28:14,917] 15	T_sample 17.42	T_update 7.62	ETA 13:48:08	expert_R_avg 0.3031 [0.2760,0.3281,0.2098,0.4604,0.9408]	expert_R_range (0.0551, 0.9229)	eps_len 17.85
