[2024-12-04 00:53:16,632] 26	T_sample 1.26	T_update 0.30	ETA 362 days, 4:51:01	expert_R_avg 0.4439 [0.0000,0.1446,0.0000,0.1446,0.7433]	expert_R_range (0.3626, 0.5272)	eps_len 14.27
[2024-12-04 00:53:18,173] 27	T_sample 1.22	T_update 0.30	ETA 352 days, 18:32:07	expert_R_avg 0.4364 [0.0000,0.1299,0.0000,0.1299,0.7428]	expert_R_range (0.3639, 0.5276)	eps_len 13.81
[2024-12-04 00:53:19,770] 28	T_sample 1.28	T_update 0.30	ETA 365 days, 16:41:45	expert_R_avg 0.4410 [0.0000,0.1388,0.0000,0.1388,0.7431]	expert_R_range (0.3629, 0.5288)	eps_len 13.93
[2024-12-04 00:53:21,387] 29	T_sample 1.29	T_update 0.31	ETA 370 days, 4:19:12	expert_R_avg 0.4440 [0.0000,0.1452,0.0000,0.1452,0.7428]	expert_R_range (0.3631, 0.5275)	eps_len 14.60
[2024-12-04 00:53:23,044] 30	T_sample 1.33	T_update 0.31	ETA 379 days, 15:21:45	expert_R_avg 0.4297 [0.0000,0.1168,0.0000,0.1168,0.7425]	expert_R_range (0.3622, 0.5261)	eps_len 14.31
[2024-12-04 00:53:24,686] 31	T_sample 1.32	T_update 0.30	ETA 375 days, 22:50:24	expert_R_avg 0.4359 [0.0000,0.1296,0.0000,0.1296,0.7423]	expert_R_range (0.3632, 0.5265)	eps_len 14.36
[2024-12-04 00:53:26,240] 32	T_sample 1.24	T_update 0.30	ETA 355 days, 15:55:29	expert_R_avg 0.4351 [0.0000,0.1280,0.0000,0.1280,0.7421]	expert_R_range (0.3633, 0.5278)	eps_len 14.59
[2024-12-04 00:53:27,785] 33	T_sample 1.23	T_update 0.29	ETA 353 days, 8:28:48	expert_R_avg 0.4349 [0.0000,0.1278,0.0000,0.1278,0.7419]	expert_R_range (0.3635, 0.5264)	eps_len 14.44
[2024-12-04 00:53:29,281] 34	T_sample 1.18	T_update 0.29	ETA 342 days, 5:29:04	expert_R_avg 0.4405 [0.0000,0.1393,0.0000,0.1393,0.7417]	expert_R_range (0.3609, 0.5261)	eps_len 14.44
[2024-12-04 00:53:30,823] 35	T_sample 1.23	T_update 0.29	ETA 352 days, 17:57:44	expert_R_avg 0.4358 [0.0000,0.1300,0.0000,0.1300,0.7417]	expert_R_range (0.3631, 0.5256)	eps_len 14.75
[2024-12-04 00:53:32,325] 36	T_sample 1.19	T_update 0.30	ETA 343 days, 9:12:28	expert_R_avg 0.4335 [0.0000,0.1255,0.0000,0.1255,0.7415]	expert_R_range (0.3632, 0.5272)	eps_len 14.85
[2024-12-04 00:53:33,913] 37	T_sample 1.22	T_update 0.30	ETA 351 days, 12:27:50	expert_R_avg 0.4429 [0.0000,0.1446,0.0000,0.1446,0.7413]	expert_R_range (0.3618, 0.5271)	eps_len 15.40
[2024-12-04 00:53:35,471] 38	T_sample 1.25	T_update 0.29	ETA 356 days, 11:24:13	expert_R_avg 0.4294 [0.0000,0.1177,0.0000,0.1177,0.7412]	expert_R_range (0.3615, 0.5278)	eps_len 13.34
[2024-12-04 00:53:37,013] 39	T_sample 1.23	T_update 0.29	ETA 352 days, 21:44:41	expert_R_avg 0.4325 [0.0000,0.1240,0.0000,0.1240,0.7410]	expert_R_range (0.3612, 0.5266)	eps_len 15.67
[2024-12-04 00:53:38,531] 40	T_sample 1.20	T_update 0.30	ETA 347 days, 9:46:57	expert_R_avg 0.4373 [0.0000,0.1340,0.0000,0.1340,0.7407]	expert_R_range (0.3594, 0.5265)	eps_len 14.66
[2024-12-04 00:53:40,061] 41	T_sample 1.22	T_update 0.29	ETA 349 days, 23:14:18	expert_R_avg 0.4391 [0.0000,0.1377,0.0000,0.1377,0.7406]	expert_R_range (0.3618, 0.5274)	eps_len 15.14
[2024-12-04 00:53:41,648] 42	T_sample 1.26	T_update 0.31	ETA 362 days, 10:50:32	expert_R_avg 0.4323 [0.0000,0.1240,0.0000,0.1240,0.7406]	expert_R_range (0.3605, 0.5266)	eps_len 15.91
[2024-12-04 00:53:43,189] 43	T_sample 1.23	T_update 0.29	ETA 352 days, 7:40:45	expert_R_avg 0.4402 [0.0000,0.1397,0.0000,0.1397,0.7406]	expert_R_range (0.3618, 0.5272)	eps_len 15.08
[2024-12-04 00:53:44,713] 44	T_sample 1.21	T_update 0.29	ETA 348 days, 12:13:51	expert_R_avg 0.4426 [0.0000,0.1449,0.0000,0.1449,0.7403]	expert_R_range (0.3576, 0.5250)	eps_len 14.35
[2024-12-04 00:53:46,254] 45	T_sample 1.23	T_update 0.30	ETA 352 days, 18:03:50	expert_R_avg 0.4309 [0.0000,0.1216,0.0000,0.1216,0.7402]	expert_R_range (0.3596, 0.5260)	eps_len 14.56
[2024-12-04 00:53:47,744] 46	T_sample 1.18	T_update 0.30	ETA 341 days, 4:45:30	expert_R_avg 0.4368 [0.0000,0.1332,0.0000,0.1332,0.7403]	expert_R_range (0.3611, 0.5269)	eps_len 13.67
[2024-12-04 00:53:49,297] 47	T_sample 1.24	T_update 0.30	ETA 355 days, 11:20:17	expert_R_avg 0.4342 [0.0000,0.1280,0.0000,0.1280,0.7403]	expert_R_range (0.3583, 0.5282)	eps_len 14.44
[2024-12-04 00:53:50,824] 48	T_sample 1.22	T_update 0.30	ETA 349 days, 17:06:53	expert_R_avg 0.4294 [0.0000,0.1186,0.0000,0.1186,0.7401]	expert_R_range (0.3604, 0.5257)	eps_len 14.54
